0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:49:31 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:51:44 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:52:06 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 2273
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:53:03 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 3521
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:53:26 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 5116
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:55:46 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:55:47 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:56:17 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:58:24 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 4067
0:0:0:0:0:0:0:1 - - [08/Aug/2019:19:58:54 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [08/Aug/2019:20:00:01 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [08/Aug/2019:20:00:42 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 5258
0:0:0:0:0:0:0:1 - - [08/Aug/2019:20:04:51 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 13443
0:0:0:0:0:0:0:1 - - [08/Aug/2019:20:05:42 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 5242
0:0:0:0:0:0:0:1 - - [08/Aug/2019:20:06:10 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 5242
0:0:0:0:0:0:0:1 - - [08/Aug/2019:20:06:50 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 5242
0:0:0:0:0:0:0:1 - - [08/Aug/2019:20:06:51 -0700] "GET /CheckerBoard/CheckerBoard.jsp HTTP/1.1" 200 5242
