127.0.0.1 - - [08/Aug/2019:14:11:06 -0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Aug/2019:14:11:09 -0700] "GET /DynamicProjecy/ HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [08/Aug/2019:15:17:59 -0700] "GET /DynamicProjecy/ HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [08/Aug/2019:15:18:20 -0700] "GET /DynamicProjecy/Home HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [08/Aug/2019:15:19:43 -0700] "GET /DynamicProjecy/Home HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [08/Aug/2019:15:22:16 -0700] "GET /DynamicProjecy/ HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [08/Aug/2019:15:22:34 -0700] "GET /DynamicProjecy/ HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [08/Aug/2019:15:22:41 -0700] "GET /DynamicProjecy/Home HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [08/Aug/2019:15:24:01 -0700] "GET /DynamicProjecy/Home HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [08/Aug/2019:15:24:01 -0700] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Aug/2019:15:34:32 -0700] "GET /DynamicProjecy/ HTTP/1.1" 404 1093
